category	mean	max	min	median	std	iqr	10th centile	20th centile	30th centile	40th centile	50th centile	60th centile	70th centile	80th centile	90th centile
contribution	60.89954337899543	167	0	56.0	30.56042670115707	42.0	26.0	34.0	42.0	49.0	56.0	63.0	74.0	85.0	105.0
strengths	60.153424657534245	433	0	49.0	45.963766001877765	46.0	19.0	27.0	34.0	40.0	49.0	57.0	68.0	84.0	113.1
weakness	97.22374429223744	494	0	72.0	83.8371447120479	97.0	19.9	31.0	43.0	56.0	72.0	90.0	117.0	153.2	211.0
reproducibility	22.57853881278539	429	0	16.0	26.297160213754154	18.0	3.0	7.0	10.0	13.0	16.0	20.0	24.0	31.0	44.0
detailed	109.97305936073059	1240	0	70.0	124.53713647326225	115.0	9.0	23.0	37.0	51.0	70.0	96.0	124.0	169.2	254.2
justification	34.88493150684931	166	0	28.0	26.955120850476664	30.0	8.0	13.0	18.0	23.0	28.0	34.0	42.0	52.0	69.0
total	385.71324200913244	2219.0	0.0	336.0	210.88446263923774	233.5	178.0	223.0	263.0	301.0	336.0	386.0	441.3	521.2	642.1
