category	mean	max	min	mediane	variance
contribution	55	162	0	50	806
strenghts	49	302	0	42	1108
weakness	88	507	0	64	6283
repro	22	382	0	15	773
detailed	113	1261	0	74	15912
justifictation	32	170	0	27	578
total	634	3283	0	547	130312
