id	title	review1	review2	review3
286	34	52	57.0	
287	114	79	149.0	
288	39	51	46.0	
289	19	77	78.0	
290	35	38	40.0	20.0
291	35	35	90.0	
292	75	92	41.0	
293	21	68	60.0	
294	40	70	39.0	
295	74	32	54.0	
296	74	30	66.0	
297	147	43	32.0	
298	38	58	53.0	
299	21	112	19.0	
300	43	106	53.0	
301	33	37	26.0	33.0
302	91	90	64.0	
303	37	29	51.0	
304	83	29	79.0	
305	39	45	13.0	72.0
306	72	59	81.0	
307	71	32	14.0	
308	41	88	61.0	75.0
309	34	42		
310	43	73	31.0	
311	65	54	45.0	
312	120	45	59.0	
313	92	33	119.0	
314	61	11	48.0	
315	60	97	56.0	
316	34	20	28.0	
317	31	61	41.0	
318	69	35	32.0	
319	28	56	54.0	
320	59	36	15.0	
321	37	103	45.0	40.0
322	31	50	61.0	62.0
323	63	50	45.0	
324	132	76	122.0	
325	73	63	29.0	
326	68	101	75.0	64.0
327	54	50	36.0	
328	81	46	115.0	
329	10	32	23.0	
330	58	44	129.0	
331	115	91	25.0	
332	45	74	48.0	
333	102	124	151.0	
334	70	162	54.0	
335	52	45	40.0	
336	78	78	45.0	
337	26	50	32.0	
338	48	75	33.0	
339	108	102	31.0	
340	50	32	59.0	
341	74	27	50.0	
342	60	75	41.0	
343	96	18	70.0	
344	39	13	62.0	
345	58	45	43.0	
346	25	43	68.0	
347	31	63	68.0	
348	53	63	139.0	
349	73	40	9.0	
350	38	28	34.0	
351	44	62	30.0	
352	14	50	25.0	
353	145	66	65.0	
354	85	33	105.0	
355	104	50	42.0	
356	76	49	70.0	
357	76	35	74.0	
358	55	66	79.0	
359	49	65	21.0	
360	42	51	58.0	
361	64	70	33.0	54.0
362	66	37	123.0	
363	54	43	36.0	
364	83	93	17.0	
365	65	29	85.0	
366	69	33	59.0	
367	93	41	79.0	
368	52	20	56.0	
369	50	44	40.0	52.0
370	125	65	19.0	
371	19	60	41.0	
372	34	68	59.0	50.0
373	59	123	75.0	
374	71	18	56.0	
375	17	16	97.0	
376	74	105	71.0	
377	66	96	43.0	
378	39	58	55.0	
379	50	27	43.0	
380	38	54	32.0	
381	80	42	47.0	
382	15	54	47.0	
383	93	14	7.0	
384	22	134	29.0	
385	15	45	67.0	
386	51	56	37.0	
387	41	37	70.0	
388	34	89	91.0	64.0
389	59	31	96.0	
390	100	37	61.0	
391	72	70	81.0	
392	70	44	34.0	
393	65	53	60.0	
394	18	85	66.0	
395	45	14	20.0	14.0
396	63	41	86.0	
397	25	53	67.0	
398	50	91	31.0	
399	35	25	54.0	
400	109	140	15.0	
401	52	22	101.0	
402	34	39	41.0	
403	24	60	89.0	
404	32	68	52.0	
405	58	36	63.0	
406	72	43	61.0	
407	27	76	122.0	
408	53	38	41.0	
409	57	59	67.0	
410	41	17	11.0	
411	54	33	38.0	
412	24	92	69.0	
413	48	58	36.0	
414	29	27	42.0	
415	17	74	51.0	
416	24	23	94.0	
417	41	84	85.0	
418	91	35	76.0	
419	28	29	33.0	
420	104	51	82.0	
421	24	43	41.0	
422	50	21	35.0	
423	63	54	38.0	
424	37	45	69.0	
425	29	78	149.0	
426	36	78	91.0	
427	19	29	49.0	
428	27	59	91.0	
429	45	73	34.0	
430	42	66	126.0	
431	56	55	53.0	32.0
432	72	37	89.0	
433	50	38	104.0	
434	55	77	83.0	
435	75	63	52.0	
436	140	89	39.0	
437	21	45	44.0	
438	34	24	42.0	
439	51	34	38.0	
440	74	56	52.0	
441	55	38		
442	32	61	70.0	
443	43	34	84.0	
444	41	47	58.0	
445	37	21	59.0	
446	22	141	37.0	
447	38	36	32.0	
448	52	24	131.0	
449	126	43	49.0	
450	100	61	141.0	
451	61	59	32.0	
452	45	43	43.0	
453	55	44	85.0	
454	58	106	38.0	
455	55	58	73.0	
456	42	12	120.0	42.0
457	37	81	71.0	
458	62	66	72.0	
459	27	44	14.0	
460	47	25	29.0	
461	106	22	19.0	
462	65	45	40.0	59.0
463	47	89	65.0	
464	49	26	73.0	
465	61	23	26.0	
466	53	46	82.0	
467	81	58	86.0	42.0
468	88	41	61.0	
469	34	32	33.0	
470	53	51	63.0	
471	50	50	38.0	44.0
472	66	70	66.0	
473	64	29	25.0	
474	57	53	39.0	
475	38	43	82.0	
476	36	37	37.0	
477	56	51	29.0	
478	98	79	29.0	
479	40	43	47.0	
480	22	25	26.0	
481	147	46	62.0	
482	75	90	36.0	
483	57	89	78.0	
484	117	148	55.0	
485	26	24	41.0	
486	78	65	67.0	
487	73	31	49.0	
489	33	71	57.0	
490	28	40	87.0	
491	46	37	95.0	
492	43	93	82.0	
493	71	102	63.0	
494	20	31	70.0	
495	95	36	48.0	
496	16	46	105.0	
497	58	37	9.0	
498	142	32	29.0	
499	37	42	34.0	54.0
500	125	36	18.0	
501	73	114	57.0	
502	152	105	25.0	
503	35	74	55.0	
504	50	39	31.0	
505	39	78	51.0	
506	41	71	98.0	
507	61	72		
508	70	59	47.0	
509	27	60	113.0	
510	74	40	32.0	
511	21	21	57.0	
512	20	17	20.0	
513	51	52	50.0	
514	95	73	56.0	
515	38	23	89.0	
516	42	97	15.0	
517	85	61	66.0	
518	25	37	54.0	
519	96	69	59.0	
520	46	57	45.0	
521	78	84	50.0	
522	36	59	65.0	
523	71	49	48.0	
524	39	22		
525	30	56	108.0	26.0
526	38	34	25.0	
527	94	44	66.0	
528	52	65	26.0	
529	88	50	37.0	
530	52	67	104.0	
531	29	74	30.0	
532	41	29	18.0	
533	91	13	74.0	
534	25	59	55.0	
535	88	46	27.0	
536	121	118	64.0	
537	51	36	24.0	
538	49	38	35.0	
539	78	67	39.0	
540	38	20	42.0	
541	24	56	66.0	
542	46	85	18.0	
543	59	37	76.0	
544	51	40	23.0	
545	40	102	89.0	30.0
546	41	149	44.0	
547	33	16	54.0	
548	54	34	40.0	
549	89	48	51.0	
550	18	29	103.0	51.0
551	107	115	12.0	
552	53	34	18.0	
553	75	14	107.0	
554	34	38	74.0	
555	27	40	50.0	
556	50	68	29.0	
557	45	102	76.0	27.0
558	55	42	61.0	
559	30	65	60.0	
560	62	42	37.0	
561	41	49	34.0	
562	102	84	72.0	
563	94	45	15.0	85.0
564	80	44	20.0	
565	19	58	27.0	92.0
566	78	29	52.0	
567	61	35	144.0	
568	53	48	74.0	
569	34	108	54.0	
570	92	34	73.0	
571	38	19	45.0	
572	33	114	52.0	
573	24	42	61.0	
574	35	34	47.0	
