For 270 reviews;number;percent;ci low;ci high
3. (+) statement;132.0;48.89;42.96;54.81
2. (-) statement ;32.0;11.85;8.15;16.3
1. (none) statement;100.0;37.04;31.11;43.33
0. Unusable (statement);6.0;2.22;0.74;4.07
