category	mean	max	min	mediane	variance
contribution	60.89954337899543	167	0	56.0	934.3663314496935
strenghts	60.153424657534245	433	0	49.0	2113.6329142599675
weakness	97.22374429223744	494	0	72.0	7031.877736544908
repro	22.57853881278539	429	0	16.0	691.8565515414349
detailed	109.97305936073059	1240	0	70.0	15516.583558932061
justifictation	34.88493150684931	166	0	28.0	726.9104626494866
total	385.71324200913244	2219	0	336.0	44492.57282593958
