For 270 reviews;number;percent;ci low;ci high
Models and algorithms;78.0;28.89;23.510185185185183;34.074074074074076
Datasets;90.0;33.33;28.14814814814815;38.89814814814814
Code;126.0;46.67;40.370370370370374;52.22222222222222
Experimental results;69.0;25.56;20.37037037037037;30.379629629629623
Error bars or statistical significance;5.0;1.85;0.37037037037037035;3.7037037037037037
Code is or will be available;63.0;23.33;18.14814814814815;28.14814814814815
