code availableness (in %);bad link;good link;no link;total
no info;2.2222222222222223;6.666666666666667;4.444444444444445;13.333333333333334
code promised;17.77777777777778;41.111111111111114;27.77777777777778;86.66666666666667
total;20.0;47.77777777777778;32.22222222222222;100.0
