For 270 reviews;number;percent;ci low;ci high
3. (+) statement;132.0;48.89;43.33;55.19
2. (-) statement ;0.0;0.0;0.0;0.0
1. (none) statement;100.0;37.04;31.29;42.59
0. Unusable (statement);6.0;2.22;0.74;4.07
