For 270 reviews;number;percent;ci low;ci high
4. (-/+) comments;62.0;22.96;18.52;28.15
3. (+) comments;83.0;30.74;25.56;36.31
2. (-) comments;50.0;18.52;14.07;22.97
1. (none) comments;60.0;22.22;17.04;27.04
0. Unusable (comments);15.0;5.56;2.96;8.52
