category	mean	max	min	mediane	variance
contribution		162	1	62	
strenghts		302	0.0	18	
weakness		507.0	1	20	
repro		382	1	21	
detailed		1261	1	23	
justifictation		170	1	9	
total		1759.0	60.0	198.0	
